French,English
histoire,history
seulement,only
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
eux,them
arrivé,come
devrait,should
bébé,baby
longtemps,long time
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
étaient,were
attention,Warning
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
yeux,eyes
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
vieux,old
sois,be
matin,morning
enfant,child
point,point
venu,came
suite,after
pardon,sorry
devant,in front of
minutes,minutes
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
dirait,would say
terre,Earth
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
